Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
COG,987,342,286,91,-0.466,3.8764563,16.63492,1.29,-0.19908297,19.31,Energy,2020-04-30,{"period":"0m","strongBuy":4,"buy":16,"hold":10,"sell":0,"strongSell":0}
AOS,988,312,290,31,-0.277,4.0019484,17.480852,2.51,-0.2676056,39.9,Industrials,2020-05-05,{"period":"0m","strongBuy":3,"buy":2,"hold":8,"sell":0,"strongSell":0}
HBI,988,136,235,185,0.211,2.6992967,5.9038463,24.09,-0.50563604,8.68,Consumer Cyclical,2020-04-30,{"period":"0m","strongBuy":3,"buy":4,"hold":8,"sell":0,"strongSell":0}
APD,992,109,300,44,0.369,4.2298436,21.736998,2.02,0.12653852,212.88,Basic Materials,2020-04-23,{"period":"0m","strongBuy":3,"buy":11,"hold":6,"sell":0,"strongSell":0}
INTC,994,116,268,198,0.329,3.3410828,12.343558,1.39,0.026181579,60.79,Technology,2020-04-23,{"period":"0m","strongBuy":5,"buy":18,"hold":13,"sell":3,"strongSell":2}
CSCO,997,214,331,85,0.02,5.070422,13.40063,2.52,-0.24600643,41.5,Technology,2020-05-13,{"period":"0m","strongBuy":8,"buy":11,"hold":8,"sell":0,"strongSell":0}
PNW,1007,38,152,323,1.454,1.6544515,15.546694,3.52,-0.14607823,79.01,Utilities,2020-05-08,{"period":"0m","strongBuy":1,"buy":0,"hold":11,"sell":1,"strongSell":0}
MTB,1014,255,77,239,-0.097,0.9521575,9.285212,5.44,-0.36644846,96.29,Financial Services,2020-04-20,{"period":"0m","strongBuy":1,"buy":3,"hold":14,"sell":3,"strongSell":1}
BSX,1016,10,285,100,9.352,3.849015,21.154697,3.35,0.09619236,35.45,Healthcare,2020-04-29,{"period":"0m","strongBuy":10,"buy":8,"hold":6,"sell":0,"strongSell":0}
MLM,1016,106,209,265,0.388,2.3191836,17.599113,2.06,-0.062597215,187.44,Basic Materials,2020-04-28,{"period":"0m","strongBuy":6,"buy":4,"hold":4,"sell":0,"strongSell":0}
WELL,1016,58,122,474,0.977,1.2961985,37.480915,2.86,-0.31577486,47.24,Real Estate,2020-04-28,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
IFF,1021,15,194,218,5.416,2.1490529,18.843374,5.2,-0.0748983,119.89,Basic Materials,2020-05-04,{"period":"0m","strongBuy":2,"buy":3,"hold":10,"sell":1,"strongSell":0}
BXP,1022,238,234,112,-0.051,2.6952276,24.487179,3.88,-0.27404028,94.07,Real Estate,2020-04-28,{"period":"0m","strongBuy":2,"buy":5,"hold":15,"sell":0,"strongSell":0}
BBY,1024,218,335,77,0.014,5.1902094,11.282052,1.55,-0.030303001,64.98,Consumer Cyclical,2020-05-25,{"period":"0m","strongBuy":2,"buy":5,"hold":16,"sell":0,"strongSell":2}
URI,1026,175,179,417,0.09,2.0396078,6.703893,1.31,-0.22449434,98.55,Industrials,2020-04-29,{"period":"0m","strongBuy":6,"buy":2,"hold":8,"sell":2,"strongSell":0}
AJG,1029,286,253,34,-0.16,3.0502043,18.577778,1.7,0.042654037,80.79,Financial Services,2020-04-30,{"period":"0m","strongBuy":3,"buy":4,"hold":8,"sell":1,"strongSell":0}
LH,1033,98,172,244,0.438,1.9077715,12.006468,2.3,0.029601455,138.53,Healthcare,2020-04-29,{"period":"0m","strongBuy":3,"buy":10,"hold":6,"sell":0,"strongSell":0}
NWL,1034,24,98,302,3.326,1.0972695,8.630872,8.46,-0.10756421,12.61,Consumer Defensive,2020-05-01,{"period":"0m","strongBuy":3,"buy":7,"hold":6,"sell":0,"strongSell":0}
GRMN,1041,59,263,215,0.897,3.2663696,17.73434,2.81,-0.046009064,78.66,Technology,2020-04-27,{"period":"0m","strongBuy":0,"buy":2,"hold":10,"sell":3,"strongSell":0}
CAG,1043,282,186,89,-0.155,2.1009824,14.792953,1.77,0.087435365,33.47,Consumer Defensive,2020-06-25,{"period":"0m","strongBuy":4,"buy":6,"hold":2,"sell":1,"strongSell":1}
GS,1043,339,63,192,-0.461,0.81301785,8.53839,2.41,-0.10317695,177.04,Financial Services,2020-07-15,{"period":"0m","strongBuy":3,"buy":7,"hold":15,"sell":2,"strongSell":0}
AEE,1047,108,212,40,0.382,2.37765,20.644564,4.57,0.10365856,77.26,Utilities,2020-05-11,{"period":"0m","strongBuy":2,"buy":0,"hold":6,"sell":1,"strongSell":0}
IBM,1048,61,333,193,0.881,5.1130123,8.977578,2.84,-0.13514292,115.73,Technology,2020-04-20,{"period":"0m","strongBuy":4,"buy":3,"hold":15,"sell":3,"strongSell":0}
LNT,1049,119,220,39,0.307,2.4888198,20.492249,3.78,0.15084898,51.61,Utilities,2020-04-30,{"period":"0m","strongBuy":2,"buy":0,"hold":5,"sell":0,"strongSell":0}
EQR,1055,36,221,167,1.473,2.5236857,46.218544,7.98,-0.05905348,65.23,Real Estate,2020-05-05,{"period":"0m","strongBuy":2,"buy":2,"hold":17,"sell":3,"strongSell":1}
VNO,1055,63,128,482,0.82,1.3749918,51.913578,3.69,-0.38179946,40.3,Real Estate,2020-05-04,{"period":"0m","strongBuy":3,"buy":4,"hold":5,"sell":0,"strongSell":0}
NEM,1058,2,202,332,281.5,2.2345884,20.855635,1.08,0.8196621,59.9,Basic Materials,2020-05-05,{"period":"0m","strongBuy":2,"buy":9,"hold":7,"sell":0,"strongSell":0}
CERN,1059,145,329,98,0.175,5.041769,20.002857,1.64,0.11712146,68.64,Healthcare,2020-04-28,{"period":"0m","strongBuy":6,"buy":5,"hold":9,"sell":0,"strongSell":0}
TSN,1060,220,140,424,0.011,1.5782279,9.127379,1.02,-0.14426905,60.88,Consumer Defensive,2020-05-04,{"period":"0m","strongBuy":4,"buy":7,"hold":5,"sell":0,"strongSell":0}
AMD,1062,20,428,53,3.474,23.427153,35.59748,1.46,1.0085166,56.95,Technology,2020-04-28,{"period":"0m","strongBuy":5,"buy":6,"hold":15,"sell":4,"strongSell":1}
ZION,1064,293,53,422,-0.19,0.70721567,8.629081,2.3,-0.3774352,26.94,Financial Services,2019-10-21,{"period":"0m","strongBuy":6,"buy":7,"hold":12,"sell":0,"strongSell":1}
GE,1071,237,188,195,-0.043,2.1111112,11.032258,3.98,-0.2660944,6.24,Industrials,2020-04-29,{"period":"0m","strongBuy":5,"buy":2,"hold":6,"sell":3,"strongSell":1}
FB,1072,186,330,148,0.068,5.058562,17.95992,1.56,-0.012125194,176.25,Communication Services,2020-04-29,{"period":"0m","strongBuy":17,"buy":24,"hold":1,"sell":1,"strongSell":1}
D,1073,81,208,147,0.574,2.307039,17.604752,3.64,0.09116471,78.07,Utilities,2020-05-05,{"period":"0m","strongBuy":2,"buy":2,"hold":14,"sell":0,"strongSell":0}
MCHP,1075,16,271,254,5.323,3.4263048,14.554347,4.86,-0.1768443,77.56,Technology,2020-05-07,{"period":"0m","strongBuy":6,"buy":6,"hold":5,"sell":0,"strongSell":0}
AON,1079,177,411,30,0.084,13.122206,16.664629,1.53,0.09102869,186.24,Financial Services,2020-05-01,{"period":"0m","strongBuy":3,"buy":3,"hold":11,"sell":2,"strongSell":0}
